#Blue,	red
0	0	0	255
1	0	0	254
2	1	0	253
3	2	0	252
4	3	0	250
5	4	0	249
6	5	0	248
7	6	0	247
8	7	0	247
9	8	0	246
10	9	0	245
11	10	0	244
12	11	0	242
13	12	0	241
14	13	0	240
15	14	0	239
16	15	0	239
17	16	0	238
18	17	0	237
19	18	0	236
20	19	0	234
21	20	0	233
22	21	0	232
23	22	0	231
24	23	0	231
25	24	0	230
26	25	0	229
27	26	0	228
28	27	0	226
29	28	0	225
30	29	0	224
31	30	0	223
32	31	0	223
33	33	0	222
34	33	0	221
35	35	0	220
36	35	0	218
37	37	0	217
38	37	0	216
39	39	0	215
40	39	0	215
41	41	0	214
42	41	0	213
43	43	0	212
44	43	0	210
45	45	0	209
46	45	0	208
47	47	0	207
48	47	0	207
49	49	0	206
50	49	0	205
51	51	0	204
52	51	0	202
53	53	0	201
54	53	0	200
55	55	0	199
56	55	0	199
57	57	0	198
58	57	0	197
59	59	0	196
60	59	0	194
61	61	0	193
62	61	0	192
63	63	0	191
64	63	0	191
65	64	0	190
66	66	0	189
67	67	0	188
68	67	0	186
69	68	0	185
70	70	0	184
71	71	0	183
72	71	0	183
73	72	0	182
74	74	0	181
75	75	0	180
76	75	0	178
77	76	0	177
78	78	0	176
79	79	0	175
80	79	0	175
81	80	0	174
82	82	0	173
83	83	0	172
84	83	0	170
85	84	0	169
86	86	0	168
87	87	0	167
88	87	0	167
89	88	0	166
90	90	0	165
91	91	0	164
92	91	0	162
93	92	0	161
94	94	0	160
95	95	0	159
96	95	0	159
97	96	0	158
98	98	0	157
99	99	0	156
100	99	0	154
101	100	0	153
102	102	0	152
103	103	0	151
104	103	0	151
105	104	0	150
106	106	0	149
107	107	0	148
108	107	0	146
109	108	0	145
110	110	0	144
111	111	0	143
112	111	0	143
113	112	0	142
114	114	0	141
115	115	0	140
116	115	0	138
117	116	0	137
118	118	0	136
119	119	0	135
120	119	0	135
121	120	0	134
122	122	0	133
123	123	0	132
124	123	0	130
125	124	0	129
126	126	0	128
127	127	0	127
128	127	0	127
129	128	0	126
130	129	0	124
131	130	0	123
132	132	0	123
133	133	0	122
134	134	0	120
135	135	0	119
136	135	0	119
137	136	0	118
138	137	0	116
139	138	0	115
140	140	0	115
141	141	0	114
142	142	0	112
143	143	0	111
144	143	0	111
145	144	0	110
146	145	0	108
147	146	0	107
148	148	0	107
149	149	0	106
150	150	0	104
151	151	0	103
152	151	0	103
153	152	0	102
154	153	0	100
155	154	0	99
156	156	0	99
157	157	0	98
158	158	0	96
159	159	0	95
160	159	0	95
161	160	0	94
162	161	0	92
163	162	0	91
164	164	0	91
165	165	0	90
166	166	0	88
167	167	0	87
168	167	0	87
169	168	0	86
170	169	0	84
171	170	0	83
172	172	0	83
173	173	0	82
174	174	0	80
175	175	0	79
176	175	0	79
177	176	0	78
178	177	0	76
179	178	0	75
180	180	0	75
181	181	0	74
182	182	0	72
183	183	0	71
184	183	0	71
185	184	0	70
186	185	0	68
187	186	0	67
188	188	0	67
189	189	0	66
190	190	0	64
191	191	0	63
192	191	0	63
193	192	0	61
194	193	0	61
195	194	0	59
196	196	0	59
197	197	0	57
198	198	0	57
199	199	0	55
200	199	0	55
201	200	0	53
202	201	0	53
203	202	0	51
204	204	0	51
205	205	0	49
206	206	0	49
207	207	0	47
208	207	0	47
209	208	0	45
210	209	0	45
211	210	0	43
212	212	0	43
213	213	0	41
214	214	0	41
215	215	0	39
216	215	0	39
217	216	0	37
218	217	0	37
219	218	0	35
220	220	0	35
221	221	0	33
222	222	0	33
223	223	0	31
224	223	0	30
225	224	0	29
226	225	0	28
227	226	0	27
228	228	0	26
229	229	0	25
230	230	0	24
231	231	0	23
232	231	0	22
233	232	0	21
234	233	0	20
235	234	0	19
236	236	0	18
237	237	0	17
238	238	0	16
239	239	0	15
240	239	0	14
241	240	0	13
242	241	0	12
243	242	0	11
244	244	0	10
245	245	0	9
246	246	0	8
247	247	0	7
248	247	0	6
249	248	0	5
250	249	0	4
251	250	0	3
252	252	0	2
253	253	0	1
254	254	0	0
255	255	0	0
