#Red,	green,	blue,	red
0	255	0	0
1	255	5	0
2	255	11	0
3	255	17	0
4	255	23	0
5	255	29	0
6	255	35	0
7	255	41	0
8	255	47	0
9	255	53	0
10	255	59	0
11	255	66	0
12	255	71	0
13	255	78	0
14	255	83	0
15	255	90	0
16	255	95	0
17	255	102	0
18	255	107	0
19	255	114	0
20	255	119	0
21	255	126	0
22	255	132	0
23	255	137	0
24	255	143	0
25	255	150	0
26	255	156	0
27	255	161	0
28	255	167	0
29	255	174	0
30	255	180	0
31	255	185	0
32	255	191	0
33	255	198	0
34	255	204	0
35	255	209	0
36	255	215	0
37	255	222	0
38	255	228	0
39	255	233	0
40	255	239	0
41	255	246	0
42	255	252	0
43	252	255	0
44	246	255	0
45	239	255	0
46	233	255	0
47	228	255	0
48	222	255	0
49	215	255	0
50	209	255	0
51	204	255	0
52	198	255	0
53	191	255	0
54	185	255	0
55	180	255	0
56	174	255	0
57	167	255	0
58	161	255	0
59	156	255	0
60	150	255	0
61	143	255	0
62	137	255	0
63	132	255	0
64	126	255	0
65	119	255	0
66	114	255	0
67	107	255	0
68	102	255	0
69	95	255	0
70	90	255	0
71	83	255	0
72	78	255	0
73	71	255	0
74	66	255	0
75	59	255	0
76	53	255	0
77	47	255	0
78	41	255	0
79	35	255	0
80	29	255	0
81	23	255	0
82	17	255	0
83	11	255	0
84	5	255	0
85	0	255	0
86	0	255	5
87	0	255	11
88	0	255	17
89	0	255	23
90	0	255	29
91	0	255	35
92	0	255	41
93	0	255	47
94	0	255	53
95	0	255	59
96	0	255	66
97	0	255	71
98	0	255	78
99	0	255	83
100	0	255	90
101	0	255	95
102	0	255	102
103	0	255	107
104	0	255	114
105	0	255	119
106	0	255	126
107	0	255	132
108	0	255	137
109	0	255	143
110	0	255	150
111	0	255	156
112	0	255	161
113	0	255	167
114	0	255	174
115	0	255	180
116	0	255	185
117	0	255	191
118	0	255	198
119	0	255	204
120	0	255	209
121	0	255	215
122	0	255	222
123	0	255	228
124	0	255	233
125	0	255	239
126	0	255	246
127	0	255	252
128	0	252	255
129	0	246	255
130	0	239	255
131	0	233	255
132	0	228	255
133	0	222	255
134	0	215	255
135	0	209	255
136	0	204	255
137	0	198	255
138	0	191	255
139	0	185	255
140	0	180	255
141	0	174	255
142	0	167	255
143	0	161	255
144	0	156	255
145	0	150	255
146	0	143	255
147	0	137	255
148	0	132	255
149	0	126	255
150	0	119	255
151	0	114	255
152	0	107	255
153	0	102	255
154	0	95	255
155	0	90	255
156	0	83	255
157	0	78	255
158	0	71	255
159	0	66	255
160	0	59	255
161	0	53	255
162	0	47	255
163	0	41	255
164	0	35	255
165	0	29	255
166	0	23	255
167	0	17	255
168	0	11	255
169	0	5	255
170	0	0	255
171	5	0	255
172	11	0	255
173	17	0	255
174	23	0	255
175	29	0	255
176	35	0	255
177	41	0	255
178	47	0	255
179	53	0	255
180	59	0	255
181	66	0	255
182	71	0	255
183	78	0	255
184	83	0	255
185	90	0	255
186	95	0	255
187	102	0	255
188	107	0	255
189	114	0	255
190	119	0	255
191	126	0	255
192	132	0	255
193	137	0	255
194	143	0	255
195	150	0	255
196	156	0	255
197	161	0	255
198	167	0	255
199	174	0	255
200	180	0	255
201	185	0	255
202	191	0	255
203	198	0	255
204	204	0	255
205	209	0	255
206	215	0	255
207	222	0	255
208	228	0	255
209	233	0	255
210	239	0	255
211	246	0	255
212	252	0	255
213	255	0	252
214	255	0	246
215	255	0	239
216	255	0	233
217	255	0	228
218	255	0	222
219	255	0	215
220	255	0	209
221	255	0	204
222	255	0	198
223	255	0	191
224	255	0	185
225	255	0	180
226	255	0	174
227	255	0	167
228	255	0	161
229	255	0	156
230	255	0	150
231	255	0	143
232	255	0	137
233	255	0	132
234	255	0	126
235	255	0	119
236	255	0	114
237	255	0	107
238	255	0	102
239	255	0	95
240	255	0	90
241	255	0	83
242	255	0	78
243	255	0	71
244	255	0	66
245	255	0	59
246	255	0	53
247	255	0	47
248	255	0	41
249	255	0	35
250	255	0	29
251	255	0	23
252	255	0	17
253	255	0	11
254	255	0	5
255	255	0	0
